eval_accuracy,eval_loss,file,model,seed,step
0.8568115234375,2.328125,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,kda,42,400
0.9361572265625,1.60546875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,kda,42,600
0.96954345703125,1.171875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,kda,42,1000
0.98272705078125,0.787109375,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,kda,42,2000
0.0650634765625,6.65625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,gdn,42,400
0.84674072265625,1.8984375,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,gdn,42,600
0.95703125,1.03515625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,gdn,42,1000
0.98748779296875,0.63671875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_lr1e_3_2000steps_freegpu.jsonl,gdn,42,2000
0.77001953125,2.9296875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,kda,123,400
0.962646484375,1.625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,kda,123,600
0.99462890625,0.853515625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,kda,123,1000
0.9976806640625,0.607421875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,kda,123,2000
0.33660888671875,4.890625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,gdn,123,400
0.92401123046875,1.5390625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,gdn,123,600
0.977294921875,0.88671875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,gdn,123,1000
0.99365234375,0.509765625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed123_lr1e_3_2000steps_freegpu.jsonl,gdn,123,2000
0.9635009765625,1.80859375,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,kda,7,400
0.99078369140625,1.140625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,kda,7,600
0.99749755859375,0.736328125,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,kda,7,1000
0.9991455078125,0.50390625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,kda,7,2000
0.02001953125,7.484375,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,gdn,7,400
0.8323974609375,2.0390625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,gdn,7,600
0.95306396484375,1.0546875,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,gdn,7,1000
0.9866943359375,0.619140625,artifacts/synthetic_mqar_zoology_curriculum_sourceinit_recurrent_sourcewd_bf16_b128_v8192_evalp64_seed7_lr1e_3_2000steps_freegpu.jsonl,gdn,7,2000
